Team,Projected WR1,Position
Arizona Cardinals,Marvin Harrison Jr.,WR
Atlanta Falcons,Drake London,WR
Baltimore Ravens,Zay Flowers,WR
Buffalo Bills,DJ Moore,WR
Carolina Panthers,Tetairoa McMillan,WR
Chicago Bears,Rome Odunze,WR
Cincinnati Bengals,Ja'Marr Chase,WR
Cleveland Browns,Jerry Jeudy,WR
Dallas Cowboys,CeeDee Lamb,WR
Denver Broncos,Courtland Sutton,WR
Detroit Lions,Amon-Ra St. Brown,WR
Green Bay Packers,Christian Watson,WR
Houston Texans,Nico Collins,WR
Indianapolis Colts,Alec Pierce,WR
Jacksonville Jaguars,Brian Thomas Jr.,WR
Kansas City Chiefs,Rashee Rice,WR
Las Vegas Raiders,Tre Tucker,WR
Los Angeles Chargers,Ladd McConkey,WR
Los Angeles Rams,Puka Nacua,WR
Miami Dolphins,Malik Washington,WR
Minnesota Vikings,Justin Jefferson,WR
New England Patriots,A.J. Brown,WR
New Orleans Saints,Chris Olave,WR
New York Giants,Malik Nabers,WR
New York Jets,Garrett Wilson,WR
Philadelphia Eagles,DeVonta Smith,WR
Pittsburgh Steelers,DK Metcalf,WR
San Francisco 49ers,Mike Evans,WR
Seattle Seahawks,Jaxon Smith-Njigba,WR
Tampa Bay Buccaneers,Emeka Egbuka,WR
Tennessee Titans,Carnell Tate,WR
Washington Commanders,Terry McLaurin,WR
